StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentChecks,Qage,Qgender,QEnglish,QAlanJones,QB_1,QB_2,QB_3,QB_4,QB_5,QB_6,QB_7,QB_8,QB_9,QB_10,QB_11,QB_12,QB_13,QB_14,QB_15,QBT_First Click,QBT_Last Click,QBT_Page Submit,QBT_Click Count,QC.1,QC.2,QC.3,QC.4,QC.5,QE.1,QE.2,QE.3,QE.4,QE.5,QF.1,QF.2,QF.3,QF.4,QF.5,QH.1,QH.2,QH.3,QH.4,QH.5,QI.1,QI.2,QI.3,QI.4,QI.5,QJ.1,QJ.2,QJ.3,QJ.4,QJ.5,QAC,QD.1,QD.2,QD.3,QD.4,QD.5,QG.1,QG.2,QG.3,QG.4,QG.5,CRT.1_1,CRT.1T_First Click,CRT.1T_Last Click,CRT.1T_Page Submit,CRT.1T_Click Count,CRT.2_1,CRT.2T_First Click,CRT.2T_Last Click,CRT.2T_Page Submit,CRT.2T_Click Count,CRT.3_1,CRT.3T_First Click,CRT.3T_Last Click,CRT.3T_Page Submit,CRT.3T_Click Count,QZ.1,QZ.2,QZ.3,QZ.4,QZ.5,QZ.6,QZ.7,QZ.8,QZ.9,QZ.10,QZ.11,QZ.12,QZ.13,QZ.14,QZ.15,QZ.16,QZ.17,QZ.18,QZ.19,QZ.21,QZ.22,QZ.23,QZ.24,QY.30,QY.31,QY.32,QY.33,QY.34,mTurkId,QX.1,QX.2,QX.3,QX.4,QX.5,QX.6,QX.7,TRUE,randomTrack,passCode,rid,RISN,opp,Q_TotalDuration,V,gc,term,age
13-06-18 16:39,13-06-18 16:42,0,100,201,1,13-06-18 16:42,R_3QKouOVIut3kfQc,,,,,anonymous,EN,2,29,2,,,38,33,42,56,26,41,44,29,24,28,25,24,33,26,,0.305,14.972,16.295,24,10,10,9,8,12,11,11,11,10,11,9,11,10,11,10,10,11,10,11,10,10,11,11,9,10,11,9,11,9,10,4,25,26,25,24,25,8,8,8,8,8,10,0.846,1.118,21.976,2,100,5.468,5.501,9.284,2,24,0.565,0.957,11.926,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213aa0-2a75-4afc-8633-95b1c6167ee7,,Qual951-2905Retainer4,201,H,1,,25-34
13-06-18 16:39,13-06-18 16:42,0,100,176,1,13-06-18 16:42,R_1jqeyaHy7maM66v,,,,,anonymous,EN,2,45,1,,,44,32,30,44,35,45,32,34,44,23,54,27,4,11,,0.477,12.985,13.491,42,9,14,11,12,11,9,14,11,13,11,9,11,12,11,10,13,9,10,12,11,13,12,12,11,11,11,13,12,13,12,4,25,24,27,24,27,10,12,10,13,10,99,0.573,0.581,27.463,2,500,0.999,1.011,28.869,2,24,0.518,0.529,9.311,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213ac3-190f-4292-ac1f-23f701bc2af1,,Qual951-2905Retainer4,176,H,1,,45-54
13-06-18 16:38,13-06-18 16:42,0,100,284,1,13-06-18 16:42,R_1lsesClP8s2CakK,,,,,anonymous,EN,2,29,1,,,79,58,36,81,71,51,79,71,79,54,50,35,52,69,,21.261,50.446,50.991,36,10,14,9,11,11,11,9,9,8,11,12,12,11,12,11,11,8,9,9,10,8,11,13,12,10,11,10,11,9,11,4,23,28,22,24,27,13,10,14,13,12,10,14.561,14.954,20.576,2,100,0.632,4.913,5.196,3,24,0.753,0.753,9.074,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213a56-aa59-4e4d-bb75-9c17806ad6b3,,Qual951-2905Retainer4,284,H,1,,25-34
13-06-18 16:39,13-06-18 16:43,0,100,227,1,13-06-18 16:43,R_2dEltJnTnDX4MhT,,,,,anonymous,EN,2,39,2,,,72,62,38,73,45,37,48,31,35,48,44,68,77,41,,11.06,21.538,22.077,22,10,10,9,10,9,9,9,12,8,11,10,10,9,9,9,9,9,10,10,9,10,10,11,12,10,10,11,9,10,8,4,23,25,23,24,24,10,10,10,9,11,10,7.582,10.481,10.51,3,5,5.168,5.178,7.806,2,48,5.268,5.279,7.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213abd-9533-4b24-a1ac-69753fb3a420,,Qual951-2905Retainer4,227,H,1,,35-44
13-06-18 16:39,13-06-18 16:43,0,100,273,1,13-06-18 16:43,R_1et0nvzXIe6Km8C,,,,,anonymous,EN,2,41,2,,,67,86,62,45,88,65,47,83,80,68,67,71,68,81,,0.85,34.441,34.877,43,11,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,13,10,11,11,11,11,11,11,11,11,11,11,11,11,4,25,25,25,25,27,9,11,11,11,11,0.1,6.603,11.847,11.901,3,100,6.639,19.05,19.002,3,24,9.769,12.098,12.158,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213aa0-0713-4de0-8639-ca9d0dec6d56,,Qual951-2905Retainer4,273,H,1,,35-44
13-06-18 16:40,13-06-18 16:44,0,100,230,1,13-06-18 16:44,R_2Uc1GZcEMnlrH6Q,,,,,anonymous,EN,2,28,2,,,68,24,100,57,100,59,100,39,100,75,84,64,98,100,,1.271,25.009,25.057,36,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,4,22,22,22,22,22,8,8,8,8,8,1,0.604,16.062,27.902,5,100,0.9,6.014,12.195,4,24,0.719,0.734,11.852,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213adf-c082-4ed6-b49e-aa8f95b45143,,Qual951-2905Retainer4,230,H,1,,25-34
13-06-18 16:39,13-06-18 16:44,0,100,311,1,13-06-18 16:44,R_OD6rlJxdWIPv8Y1,,,,,anonymous,EN,2,43,2,,,8,1,0,2,11,7,5,100,98,100,6,9,100,100,,1.648,43.82,45.026,27,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,25,25,25,25,25,11,11,11,11,11,0.1,10.318,10.318,14.744,2,500,11.537,11.537,14.488,2,24,20.787,24.779,25.38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213aac-ebb6-4284-926e-a455d4b755e1,,Qual951-2905Retainer4,311,H,1,,35-44
13-06-18 16:39,13-06-18 16:45,0,100,345,1,13-06-18 16:45,R_1QacpxvTfXm93Ri,,,,,anonymous,EN,2,54,2,,,22,9,9,4,12,19,12,10,31,23,14,25,3,13,,12.201,47.465,48.914,28,10,10,11,11,10,10,11,11,11,11,10,11,11,11,10,12,11,10,11,11,11,11,11,11,10,10,11,11,11,11,4,25,22,23,25,25,10,11,11,11,11,?10,15.935,26.072,26.169,3,30,9.12,9.137,13.937,2,100,1.791,1.81,15.409,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213a9c-d672-4ede-8e82-5a2554226c85,,Qual951-2905Retainer4,345,H,1,,45-54
13-06-18 16:40,13-06-18 16:45,0,100,313,1,13-06-18 16:45,R_1gCIOsWeDIxMFY1,,,,,anonymous,EN,2,43,2,,,100,7,100,12,29,52,100,100,100,100,65,0,100,33,,2.683,78.207,79.162,54,12,12,12,14,9,11,8,9,14,10,13,13,9,8,10,13,12,12,12,9,11,10,14,9,8,14,10,9,11,10,4,22,23,23,27,22,8,9,9,13,14,5,23.767,23.671,25.841,2,98,4.031,5.855,5.908,3,65,0.997,2.515,2.565,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213acc-9a41-4d63-9299-e8afc53ac7e7,,Qual951-2905Retainer4,313,H,1,,35-44
13-06-18 16:37,13-06-18 16:45,0,100,504,1,13-06-18 16:45,R_2S5Zv7bj9DSg8gb,,,,,anonymous,EN,2,72,1,,,23,32,46,80,95,94,76,88,87,100,94,100,100,100,,15.186,70.755,72.242,15,8,12,8,13,10,9,10,9,11,11,12,10,11,9,9,10,10,11,13,10,11,9,10,13,9,9,11,10,9,11,4,23,23,23,26,27,8,13,10,13,8,0.1,7.487,7.487,19.292,1,100,10.141,10.141,14.083,1,24,8.827,8.827,11.761,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,none,5b213a32-7a2f-4c2c-82ff-906145edb39f,,Qual951-2905Retainer4,504,H,1,,65+
